,no_components,loss,learning_rate,item_alpha,user_alpha,epochs,precision@20
44,256,warp,0.0011667062884779618,0.0003083254581160452,0.0001111051314449824,5,0.0030037880808835298
45,128,warp,1.3383161532466292e-05,7.280836450978658e-05,3.072603315621341e-05,19,0.0029611054793789683
46,750,warp,5.3299007656430813e-05,9.444710167597809e-05,4.631431948097497e-05,29,0.002950434829002828
47,128,warp,0.0001787421925772633,0.0015848360312797944,0.003745520038897811,25,0.002929093528250547
48,512,warp,0.01200483682493208,0.0008604547636905063,0.0007961643661259599,26,0.0029210905404684416
49,32,warp,0.0005435078649675422,7.225209508862221e-05,2.8457123457539406e-06,16,0.002905084564904231
50,750,warp,0.0004033196522099998,0.0008125278826655305,1.321301946356432e-05,28,0.0028250546870831777
51,256,warp,0.04204010168384853,0.0004430856705649423,3.055898238975889e-05,16,0.002587632716214053
52,32,warp,0.09100447157780468,8.395408666670225e-06,6.5005596569999896e-06,9,0.001952729018833698
53,750,warp,0.09247946909746438,3.307161778452769e-05,1.0284182524068752e-05,25,0.000850984367497199
54,128,warp,0.11047789705393897,1.533851370525485e-06,7.234921743297285e-05,26,0.00042149068985754685
55,128,warp,0.12766017863904655,6.070358780048096e-06,8.077842157345258e-06,15,0.00032545483647228296
56,750,warp,0.32566825199804095,0.00010248871119512295,9.996103350991414e-05,22,0.00013071546710772023
57,32,warp,0.23822552212458206,2.0384117571251593e-06,4.231246855715762e-06,9,0.00012804780451368514
58,256,warp,0.02836477001164606,0.0017184843674497284,0.04653362873189759,13,0.0001227124793256149
59,512,warp,0.060351906499049826,0.00016101102660071286,0.006324978624734444,23,0.0001173771541375447
60,128,warp,0.16376219111850313,5.0192562111533904e-05,8.254179029719376e-05,21,0.00011204182894947447
61,1024,warp,0.09615461434688218,0.08428190181197392,0.00010652955935697439,17,0.00010403884116736917
62,128,warp,0.3470044640684564,2.265828011308813e-06,2.5203181543231543e-06,7,0.00010137117857333405
63,256,warp,0.03884528534365601,0.002788112082220303,6.53269375637867e-05,24,9.336819079122873e-05
64,512,warp,0.1424544677255101,0.001472542496422302,0.00020866192407336057,16,9.336819079122873e-05
65,64,warp,0.45633871874600385,0.003943527588994345,1.0077091122752763e-05,27,9.070052819719363e-05
66,128,warp,0.0718790994932439,1.2447883838987154e-05,0.061323156825423074,21,8.53652030091234e-05
67,32,warp,0.2065336039693612,1.569773533076549e-06,0.00033101391758337913,10,8.00298778210532e-05
68,128,warp,0.23179085988167136,1.799612268454588e-05,0.0004020580416218191,17,8.00298778210532e-05
69,1024,warp,0.020423749736328427,1.0154947802312181e-05,0.044772682474789945,25,5.868857706877235e-05
